ἆ|ah!
Φθιώτης|a man of Phthia
φθογγάριον|sounding-pipe
φθογγήεις|sounding
φθόγγος|any clear, distinct sound
φθόη|empyema
φθόϊς|a kind of cake
φθονερία|enviousness
φθονερός|envious, jealous, grudging
φθονέω|to bear ill-will
φθόνησις|a jealous refusal
φθονητέον|one must envy
φθονητικός|envious
φθονόλετρος|enviously destructive
φθόνος|ill-will, envy, jealousy
φθορά|destruction, ruin, perdition
φθορεῖον|drug for producing abortion
φθορεύς|corrupter, seducer
φθορηγενής|breeding corruption
φθορία|corruption, mischief
φθορικός|destructive
φθόριμος|destructive
φθόριος|destructive
φθοροποιέω|commit injury
φθοροποιός|causing destruction
φθόρος|a pestilent fellow
φθορώδης|corrupt, pestilent
φθοώδης|consumptive
φιάλα|goblet
φιάλη|a broad, flat vessel, a bowl
φιαληφόρος|cup-bearer
φιαλίτης|concerning a number of bowls
φιάλλω|to undertake, set about
φιαλοβωμός|bowl-shaped altar
φιαλοειδής|bowl-shaped
φιαλομαντεία|divination by gazing into a bowl
φιαλόω|excavate into the form of a φιάλη
φιαλωτός|saucer-shaped
φιαρός|shining, bright
φιαρύνω|make bright and clean
φιβάλεως|early fig
φίβλα|fibula
φιδίτης|member of a φιδίτιον
φιδίτιον|common mess
φιλάβουλος|wilfully unadvised
φίλαβρος|loving delicacy
φιλαγαθέω|love good men
φιλαγαθία|love of goodness
φιλάγαθος|loving goodness
φιλάγλαος|loving splendour
φιλάγραυλος|fond of the country
φιλαγρέτις|fond of the chase, huntress
φιλαγρευτής|fond of the chase
φιλαγρέω|love the country
φιλάγριον|bandage
φίλαγρος|fond of the country
φιλάγρυπνος|fond of waking, wakeful
φιλάγων|loving the games
φιλαγωνιστής|fond of contests
φιλαδελφέω|show brotherly affection
φιλαδελφία|brotherly love
φιλαδέλφιον|plaster
φιλάδελφος|loving one's brother
φιλαδύναμος|soon weakening
φιλάεθλος|fond of the games
φιλαθήναιος|fond of the Athenians
φιλαθλητής|fond of athietes
φίλαθλος|fond of games
φιλαίακτος|lamentable
φιλαιδήμων|loving modesty
φιλαίματος|bloodthirsty
φιλαίτιος|fond of accusing, censorious
φιλακανθίς|fond of thorn bushes
φιλακόλαστος|fond of sensuai indulgence
φιλακόλουθος|readily following
φιλάκρατος|fond of sheer wine
φιλακριβέω|to be very precise
φιλαλειπτέω|to be fond of anointing oneself
φιλαλεξανδρεύς|well-disposed towards Alexandria
φιλαλέξανδρος|a friend of Alexander
φιλαλήθεια|sincerity, ingenuousness
φιλαλήθης|loving truth
φιλαλληλία|mutual love
φιλάλληλος|of mutual affection
φίλαλμος|fond of leaping
φιλάλυπος|liking to be free from pain
φιλαλυστής|easily bewildered
φιλαμαρτήμων|loving sin
φιλαμπελέω|love the vine
φιλάμπελος|loving the vine
φιλαμπελόω|to love the vine
φιλαναγνωστέω|to be fond of reading
φιλαναγνώστης|fond of reading
φιλαναλωτής|fond of spending, prodigal of
φιλανδρία|love for the male sex
φίλανδρος|loving men
φιλανθής|fond of flowers
φιλανθρακεύς|friend of colliers
φιλανθρώπευμα|a humane act
φιλανθρωπεύομαι|to act humanely
φιλανθρωπέω|to treat humanely
φιλανθρωπία|humanity, benevolence, kindliness
φιλάνθρωπος|loving mankind, humane, benevolent, kindly
φιλάνωρ|fond of one's husband, conjugal
φιλάοιδος|fond of singing
φιλαπελλῆς|admirer of Apelles
φιλάπεπτος|subject to bad digestion
φιλαπεχθημοσύνη|fondness for making enemies, quarrelsomeness
φιλαπεχθήμων|fond of making enemies, quarrelsome
φιλαπλοϊκός|fond of simplicity
φιλαπόδημος|fond of travelling
φιλαργεῖος|loving the Argives
φιλαργικός|contemplative
φιλαργυρέω|love money
φιλαργυρία|love of money, covetousness
φιλάργυρος|fond of money, covetous
φιλάρετος|fond of virtue
φιλαριστείδης|a friend of Aristides
φιλαριστοτέλης|admirer of Aristotle
φιλάρματος|fond of the chariot-race
φιλάρπαξ|fond of rapine, ravenous
φιλαρσάκης|devoted, loyal to the Arsacid house
φιλάρτεμις|lover of Artemis
φιλάρχαιος|fond of what is old, fond of antiquity
φιλαρχέω|to be fond of rule
φιλαρχία|love of rule, lust of power
φιλαρχιάω|to be lustful of power
φίλαρχος|fond of power, ambitious
φιλάρχων|loving the rulers
φιλασκητής|lover of training
φιλαστράγαλος|fond of playing at
φιλαστρόλογος|loving astrology
φιλάσωτος|fond of a profligate life, profligate, wanton
φίλαυλος|fond of the aulos
φιλαύστηρος|devoted to austerity
φιλαυτέω|to be fond of self
φιλαυτία|self-love, self-regard
φίλαυτος|loving oneself
φίλαυχος|boastful
φιλαχαιός|friend of the Achaeans
φιλαχιλλεύς|friend of Achilles
φιλαψευδής|truthful
φιλέβδομος|fond of the number seven
φιλέγγυος|readily giving security
φιλεγκλήμων|fond of fault-finding
φιλεγκώμιος|loving praises
φιλέθειρος|attached to the hair
φιλειδήμων|fond of learning
φιλεκαγαθία|love of honourable conduct
φιλελεήμων|compassionate
φιλελευθέριος|loving liberality
φιλελεύθερος|loving freedom, liberal
φιλέλλην|fond of the Hellenes
φίλελπις|readily hoping, always hoping
φιλέμπορος|fond of traffic and travel
φιλενδεικτέω|to be fond of showing off
φιλένδοξος|fond of the great, snobbish
φιλένθεος|filled with divine influence
φιλέντολος|loving the commandments
φιλέξοδος|fond of going out
φιλέορτος|fond of feasts
φιλεπαινος|loving praise
φιλεπίστήμων|fond of knowledge
φιλεπίστροφος|tending to recur
φιλεπιτιμητής|a censorious person
φιλεπίτιμος|fault-finding, censorious
φιλεραστέω|to be amorous
φιλεραστής|fond of a lover
φιλεραστία|devotion to a lover
φιλέραστος|amorous
φιλεράστρια|amorous
φιλεργέω|love work, be industrious
φιλεργία|love of labour, industry
φιλεργός|loving work, industrious
φιλερημία|love of solitude
φιλέρημος|fond of solitude
φιλέριθος|fond of wool-spinning
φίλερις|fond of strife, disputatious, quarrelsome
φιλεριστέω|love strife
φιλεριστία|disputatiousness
φιλεριστικός|pugnacious, combative
φιλέριστος|pertinax
φίλερως|prone to love, full of love
φιλέσπερος|fond of evening
φιλεστιάτωρ|lover of feasting
Φιλεταίρειος|of Philetaerus
φιλεταιρία|attachment to one's comrades
φιλεταιρικός|of comradely affection
φιλέταιρος|fond of one's comrades
φίλετνος|fond of pulse-soup
φιλεύδιος|loving clear weather
φιλεύηχος|fond of loud cries
φιλεύιος|loving the cry of εὐοῖ
φιλεύλειχος|fond of dainties
φίλευνος|fond of the marriage-bed
φιλευριπίδης|fond of Euripides
φιλευτράπελος|loving wit
φιλευφρόσυνος|fond of good cheer
φιλευώδης|loving sweet smells
φιλέφηβος|fond of youths
φιλεχθρέω|exercise enmity
φίλεχθρος|disharmonic
φιλέψιος|fond of play, sportive
φιλέω|to love, regard with affection
φίληβος|loving youth:
φιληδέω|to find pleasure in, take delight in
φιληδής|fond of pleasure
φιληδία|delight
φιληδονία|fondness for pleasure
φιληδονικός|advocating hedonism
φιλήδονος|fond of pleasure
φιληκοέω|to be attentive
φιληκοΐα|fondness for listening to
φιλήκοος|fond of hearing
φιληλάκατος|fond of the spindle
φιληλιάς|fond of the sun
φιληλιαστής|one who delights in the trials of the court Heliaea
φίλημα|a kiss
φιλημονίειος|in honour of Philemon
φιλημοσύνη|friendliness, affection
φιλήμων|kindly, affectionate
φιλήνεμος|loving wind
φιλήνιος|following the rein, tractable
φιληραϊστής|friend of the Ἡραϊσταί (guild of Hera-worshippers)
φιλήρεμος|lover of silence
φιλήρετμος|loving the oar
φιλησία|thievishness
φιλησίμως|in love
φίλησις|a feeling of affection
φιλήσυχος|fond of rest, peaceful
φιλητέον|one must love
φιλητέος|one must love
φιλητεύω|to be a thief
φιλητής|lover
φιλήτης|thief
φιλητήσιος|productive of love
φιλητικός|disposed to love
φιλητός|to be loved, worthy of love
φιλήτωρ|a lover
φιλήφαιστος|friend of Hephaestus
φιλία|friendly love, affection, friendship
φιλιάζω|to be a friend
φιλιακός|friendly society, funeral club
φιλιαστής|reconciler
φιλιατρέω|to be an amateur doctor
φιλίατρος|friend of the art of medicine
φιλίδρως|loving sweat
φιλικός|friendly, mark of friendship
φίλιος|friendly, of friendship; dear, beloved
φιλιόω|make a friend of
Φιλίππειος|of Philip
φιλιππέω|to be fond of horses
φιλιππία|love of horses
φιλιππιδόομαι|turn into a very Philippides
φιλιππίζω|to be on Philip's side
φιλιππισμός|siding with Philip
φίλιππος|fond of horses, horse-loving
φιλιπποτρόφος|fond of keeping horses
φιλίππῳ|to be crowned together
φιλίστιον|cleavers, Galium Aparine
φιλιστορέω|love research
φιλίστωρ|fond of learning
φιλῖτα|friend of travellers
φιλίτια|the common meals (LSJ φιδίτιον)
φιλιτιανοί|Feliciani?
φιλίτιον|the common hall (LSJ φιδίτιον)
φίλιχθυς|fond of fish
φιλίωσις|making friendly
φιλιωτής|one who reconciles
φιλιωτικός|reconciling
Φιλλυρίδας|son of Philyra
φιλόβακχος|loving Bacchus
φιλοβαρβαρίζω|enjoy barbarisms of speech
φιλοβάρβαρος|fond of barbarians
φιλοβάρβιτος|fond of the lyre
φιλοβασίλειος|loving monarchy
φιλοβασιλεύς|a friend to the king
φιλοβασιλισταί|'the King's Own'
φιλοβάσκανος|envious
φιλοβήδιοι|admirers of Vedius
φιλόβιβλος|fond of books
φιλοβοιωτός|fond of the Boeotians
φιλοβορρᾶς|loving the North wind
φιλόβοτρυς|fond of bunches of grapes
φιλόβουλος|patron of the Senate
φιλοβούπαις|loving full-grown boys
φιλόβρωτος|voracious
φιλογαθής|[Dor. for -γη-] loving mirth, mirthful
φιλογάϊος|friend of Gaius
φιλόγαιος|loving the earth
φιλογαλλοβραχειονοτύμπανος|loving the drum beaten by the arms of Γαλλοί
φιλόγαμος|longing for marriage
φιλογαρέλαιος|fond of fish-pickle and oil
φιλογαστορίδης|one who loves his belly, a glutton
φιλογείτων|friendly to one's neighbours
φιλογελοιαστής|a friend of jesters
φιλογέλοιος|fond of the ludicrous
φιλόγελως|laughter-loving
φιλογένεσις|with an impulse towards generation
φιλογενναῖος|loving what is noble
φιλογερμανικός|loyal to Germanicus
φιλογέρων|loyal to the Senate
φιλογεωμέτρης|fond of geometry
φιλογεωμετρία|fondness for geometry
φιλογεωργία|fondness for a country life
φιλογέωργος|fond of a country life
φιλογηθής|loving mirth, mirthful
φιλογλιχέω|to be fractious, perverse
φιλόγλυκυς|loving sweet things
φιλογονία|love of children
φιλόγονος|loving one's children
φιλογραμματέω|to love books
φιλογραμματία|love of books
φιλογράμματος|loving books
φιλογραφέω|love painting
φιλογυμναστέω|to love gymnastic exercises
φιλογυμναστής|fond of gymnastic exercises
φιλογυμναστία|fondness for gymnastic exercises
φιλογύναιος|fond of one's wife
φιλογύνης|fond of women
φιλογυνία|love of women
φιλογώνιος|lurking in corners: retired
φιλοδαιτύμων|fond of guests
φιλόδακρυς|loving tears, given to weeping
φιλοδάρειος|friend of Darius
φιλοδάρτης|flagitiosus, plagosus
φιλόδαφνος|loving the laurel
φιλοδειπνιστής|one who likes giving dinners
